,Nspec,Nbins,WvlStart,WvlEnd,SplineKnots,SN,dm15,TypeStr,TypeInt,SubTypeInt,WFF subtype int,WFF subtype str,WFF broadtype int,WFF broadtype str
437,9,1024,2500.0,10000.0,12,sn1981B,0.91,Ia-norm,1,2,0,Ia-norm,0,Ia
438,7,1024,2500.0,10000.0,7,sn1998dx,1.32,Ia-norm,1,2,0,Ia-norm,0,Ia
439,4,1024,2500.0,10000.0,10,sn07bm,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
440,11,1024,2500.0,10000.0,11,sn2003hv,1.31,Ia-norm,1,2,0,Ia-norm,0,Ia
441,9,1024,2500.0,10000.0,11,sn2001bf,0.99,Ia-norm,1,2,0,Ia-norm,0,Ia
442,4,1024,2500.0,10000.0,10,sn06dm,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
443,1,1024,2500.0,10000.0,11,sn06ac,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
444,1,1024,2500.0,10000.0,9,sn99by,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
445,31,1024,2500.0,10000.0,12,sn2011dh,-9.99,IIb,2,4,8,IIb,1,Ib
446,3,1024,2500.0,10000.0,10,sn2003U,1.46,Ia-norm,1,2,0,Ia-norm,0,Ia
447,1,1024,2500.0,10000.0,8,sn2002cf,1.78,Ia-91bg,1,4,2,Ia-91bg,0,Ia
448,2,1024,2500.0,10000.0,10,sn05kc,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
449,3,1024,2500.0,10000.0,10,sn98ef,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
450,23,1024,2500.0,10000.0,11,sn2002dj,1.19,Ia-norm,1,2,0,Ia-norm,0,Ia
451,12,1024,2500.0,10000.0,11,sn1999ee,0.96,Ia-norm,1,2,0,Ia-norm,0,Ia
452,4,1024,2500.0,10000.0,10,sn1999aw,0.81,Ia-91T,1,3,1,Ia-91T,0,Ia
453,10,1024,2500.0,10000.0,10,sn1994M,1.26,Ia-norm,1,2,0,Ia-norm,0,Ia
454,2,1024,2500.0,10000.0,9,sn2007cq,1.2,Ia-91T,1,3,1,Ia-91T,0,Ia
455,2,1024,2500.0,10000.0,8,sn2008af,1.33,Ia-norm,1,2,0,Ia-norm,0,Ia
456,1,1024,2500.0,10000.0,11,sn02hd,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
457,2,1024,2500.0,10000.0,11,sn06sr,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
458,1,1024,2500.0,10000.0,8,sn2004ge,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
459,10,1024,2500.0,10000.0,9,sn2007fb,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
460,8,1024,2500.0,10000.0,8,sn2006cj,0.81,Ia-norm,1,2,0,Ia-norm,0,Ia
461,8,1024,2500.0,10000.0,11,PTF12gzk,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
462,1,1024,2500.0,10000.0,10,sn05dv,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
463,9,1024,2500.0,10000.0,10,sn08ds,-9.99,Ia-99aa,1,7,1,Ia-91T,0,Ia
464,2,1024,2500.0,10000.0,8,sn2006cm,1.04,Ia-norm,1,2,0,Ia-norm,0,Ia
465,1,1024,2500.0,10000.0,10,sn08A,-9.99,Ia-02cx,1,8,4,Iax,0,Ia
466,15,1024,2500.0,10000.0,11,sn2011ei,-9.99,IIb,2,4,8,IIb,1,Ib
467,18,1024,2500.0,10000.0,11,sn1994ae,0.96,Ia-norm,1,2,0,Ia-norm,0,Ia
468,18,1024,2500.0,10000.0,9,sn2005hg,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
469,3,1024,2500.0,10000.0,8,sn2005lu,0.74,Ia-norm,1,2,0,Ia-norm,0,Ia
470,34,1024,2500.0,10000.0,10,sn1998bu,1.03,Ia-norm,1,2,0,Ia-norm,0,Ia
471,16,1024,2500.0,10000.0,13,16gkg,-9.99,IIb,2,4,8,IIb,1,Ib
472,3,1024,2500.0,10000.0,10,sn05ke,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
473,7,1024,2500.0,10000.0,9,sn1995E,1.16,Ia-norm,1,2,0,Ia-norm,0,Ia
474,2,1024,2500.0,10000.0,9,sn2007kj,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
475,1,1024,2500.0,10000.0,10,sn04bw,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
476,3,1024,2500.0,10000.0,10,sn06et,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
477,1,1024,2500.0,10000.0,8,sn2006cc,0.97,Ia-norm,1,2,0,Ia-norm,0,Ia
478,4,1024,2500.0,10000.0,11,sn02he,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
479,34,1024,2500.0,10000.0,11,sn2002ap,-9.99,Ic-broad,3,4,11,Ic-broad,2,Ic
480,15,1024,2500.0,10000.0,8,sn2000fa,1.0,Ia-norm,1,2,0,Ia-norm,0,Ia
481,3,1024,2500.0,10000.0,10,sn2007ag,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
482,22,1024,2500.0,10000.0,11,sn2005az,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
483,241,1024,2500.0,10000.0,12,sn1987A,-9.99,II-pec,4,3,16,II-pec,3,II
484,14,1024,2500.0,10000.0,8,sn2006H,1.83,Ia-91bg,1,4,2,Ia-91bg,0,Ia
485,1,1024,2500.0,10000.0,10,sn02cf,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
486,5,1024,2500.0,10000.0,8,sn1996bo,1.16,Ia-norm,1,2,0,Ia-norm,0,Ia
487,12,1024,2500.0,10000.0,8,sn1998ab,1.04,Ia-91T,1,3,1,Ia-91T,0,Ia
488,3,1024,2500.0,10000.0,8,sn2002aw,1.05,Ia-norm,1,2,0,Ia-norm,0,Ia
489,3,1024,2500.0,10000.0,8,sn2002hd,1.16,Ia-norm,1,2,0,Ia-norm,0,Ia
490,1,1024,2500.0,10000.0,8,sn2005bc,1.32,Ia-norm,1,2,0,Ia-norm,0,Ia
491,1,1024,2500.0,10000.0,11,sn02bz,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
